countyname,state,countyssa,eligibles,totalenrollees,totalpenetration,numberofplans1,numberofplans2
LAWRENCE ,AL,HCPP PPO HMO,6950.0,25065.0,360.64748201438846,5.0,0.0
LEE ,AL,PFFS HCPP HMO,19600.0,181832.0,927.7142857142858,14.0,1.0
LIMESTONE ,AL,HCPP PPO HMO PFFS,12690.0,88911.0,700.6382978723404,9.0,0.0
LOWNDES ,AL,HMO HCPP PPO PFFS,9940.0,13825.0,139.08450704225353,7.0,3.0
MACON ,AL,HMO HCPP PFFS,8580.0,23388.0,272.5874125874126,6.0,1.0
MADISON ,AL,HCPP PPO PFFS HMO COST DEMO,41760.0,1249494.0,2992.0833333333335,29.0,5.0
MARENGO ,AL,HCPP HMO,8700.0,23568.0,270.8965517241379,6.0,0.0
MARION ,AL,HCPP HMO DEMP,11680.0,50848.0,435.3424657534247,8.0,2.0
MARSHALL ,AL,HCPP HMO PFFS PSO DEMC,24990.0,292366.0,1169.9319727891157,17.0,0.0
MOBILE ,AL,DEMP PPO HMO HCPP PFFS DEMC COST PSO,41440.0,1792448.0,4325.405405405405,28.0,7.0
MONROE ,AL,HMO HCPP COST DEMO,7450.0,20800.0,279.19463087248323,5.0,1.0
MONTGOMERY ,AL,PPO HMO PFFS HCPP DEMO,37500.0,848400.0,2262.4,25.0,6.0
MORGAN ,AL,HMO HCPP PPO COST DEMO,31710.0,423738.0,1336.291390728477,21.0,1.0
PERRY ,AL,HMO HCPP DEMP,4560.0,6384.0,140.0,3.0,1.0
PICKENS ,AL,HCPP HMO,6120.0,17444.0,285.0326797385621,4.0,0.0
PIKE ,AL,HMO,6160.0,21732.0,352.7922077922078,4.0,1.0
RANDOLPH ,AL,HMO HCPP PPO PFFS COST,9300.0,26964.0,289.93548387096774,6.0,1.0
RUSSELL ,AL,HMO PFFS HCPP PPO,14040.0,83916.0,597.6923076923077,9.0,2.0
SAINT CLAIR ,AL,HCPP DEMP HMO PPO,18840.0,119172.0,632.5477707006369,12.0,5.0
SHELBY ,AL,HCPP DEMP PPO HMO PFFS DEMO,36340.0,349140.0,960.7594936708861,23.0,7.0
SUMTER ,AL,HCPP HMO,9540.0,16608.0,174.08805031446542,6.0,0.0
TALLADEGA ,AL,HMO HCPP DEMP,19200.0,188088.0,979.625,12.0,1.0
TALLAPOOSA ,AL,HMO HCPP,11270.0,57981.0,514.472049689441,7.0,0.0
TUSCALOOSA ,AL,HCPP HMO DEMP PFFS DEMC,24300.0,382485.0,1574.0123456790122,15.0,6.0
WALKER ,AL,HCPP DEMP HMO PPO COST,21190.0,209885.0,990.4907975460123,13.0,5.0
WASHINGTON ,AL,HMO HCPP PFFS,9840.0,19920.0,202.4390243902439,6.0,2.0
WILCOX ,AL,HMO DEMO,6600.0,10768.0,163.15151515151516,4.0,1.0
WINSTON ,AL,HCPP HMO PFFS,11620.0,36561.0,314.6385542168675,7.0,3.0
ARKANSAS ,AR,HCPP HMO,8000.0,7930.0,99.125,2.0,0.0
ASHLEY ,AR,HMO DEMC HCPP,20050.0,21970.0,109.57605985037407,5.0,0.0
BAXTER ,AR,PFFS HMO COST HCPP PSO,96480.0,302520.0,313.55721393034827,24.0,1.0
BENTON ,AR,HMO PFFS HCPP PPO DEMO,100750.0,672475.0,667.4689826302729,25.0,4.0
BOONE ,AR,PFFS HCPP HMO DEMC,44440.0,91553.0,206.01485148514854,11.0,2.0
BRADLEY ,AR,HMO HCPP,8100.0,4936.0,60.93827160493828,2.0,0.0
CALHOUN ,AR,PFFS HCPP HMO,12180.0,2799.0,22.980295566502463,3.0,0.0
CARROLL ,AR,PFFS HMO HCPP,36630.0,45171.0,123.31695331695332,9.0,1.0
CHICOT ,AR,HMO HCPP COST,16320.0,10908.0,66.83823529411764,4.0,0.0
CLARK ,AR,PFFS HCPP HMO DEMC COST,32720.0,33520.0,102.44498777506112,8.0,2.0
CLAY ,AR,PFFS HMO HCPP,16400.0,16364.0,99.78048780487805,4.0,0.0
CLEBURNE ,AR,HCPP HMO PFFS,24660.0,38088.0,154.45255474452554,6.0,0.0
CLEVELAND ,AR,HMO HCPP,12360.0,4704.0,38.05825242718446,3.0,0.0
COLUMBIA ,AR,HMO DEMO,12390.0,15285.0,123.36561743341406,3.0,0.0
CONWAY ,AR,HMO PFFS HCPP,12420.0,15156.0,122.02898550724638,3.0,0.0
CRAIGHEAD ,AR,HMO HCPP PFFS,41500.0,133270.0,321.13253012048193,10.0,0.0
CRAWFORD ,AR,PFFS HCPP HMO PSO,58240.0,136556.0,234.47115384615387,14.0,3.0
CRITTENDEN ,AR,PFFS HMO HCPP PSO DEMO,45870.0,76021.0,165.73141486810553,11.0,1.0
CROSS ,AR,HMO HCPP PFFS,12540.0,9783.0,78.01435406698565,3.0,0.0
DESHA ,AR,HCPP HMO PPO,37800.0,23526.0,62.238095238095234,9.0,1.0
DREW ,AR,HMO DEMO HCPP,16840.0,11516.0,68.38479809976246,4.0,0.0
FAULKNER ,AR,HCPP HMO PFFS PSO,54860.0,157170.0,286.49289099526067,13.0,1.0
FRANKLIN ,AR,HCPP PFFS HMO,38070.0,31752.0,83.40425531914893,9.0,4.0
FULTON ,AR,HMO HCPP PFFS,12720.0,9501.0,74.6933962264151,3.0,0.0
GARLAND ,AR,HCPP HMO COST PFFS DEMC DEMP DEMO,85000.0,502960.0,591.7176470588236,20.0,1.0
GRANT ,AR,HCPP PFFS,12780.0,7893.0,61.76056338028169,3.0,0.0
GREENE ,AR,HMO HCPP PFFS,29890.0,50141.0,167.75175644028104,7.0,0.0
HEMPSTEAD ,AR,HMO HCPP,12840.0,11082.0,86.30841121495327,3.0,0.0
HOT SPRING ,AR,HMO HCPP,12870.0,17364.0,134.91841491841492,3.0,0.0
HOWARD ,AR,HMO COST PFFS,12900.0,8205.0,63.604651162790695,3.0,0.0
INDEPENDENCE ,AR,HMO PSO HCPP,25860.0,41490.0,160.44083526682132,6.0,0.0
IZARD ,AR,HMO PPO PFFS DEMO HCPP,34560.0,27832.0,80.5324074074074,8.0,0.0
JACKSON ,AR,HMO HCPP DEMC,17320.0,17424.0,100.60046189376443,4.0,0.0
JEFFERSON ,AR,PFFS HMO HCPP,26040.0,80022.0,307.3041474654378,6.0,1.0
JOHNSON ,AR,HCPP PFFS HMO,30450.0,30828.0,101.24137931034483,7.0,2.0
LAWRENCE ,AR,PFFS HCPP DEMP COST,21850.0,21425.0,98.05491990846681,5.0,0.0
LEE ,AR,HMO HCPP PFFS,17520.0,7788.0,44.45205479452055,4.0,0.0
LITTLE RIVER ,AR,HMO,13200.0,7761.0,58.795454545454554,3.0,0.0
LOGAN ,AR,HCPP PFFS HMO,26460.0,29076.0,109.88662131519274,6.0,2.0
LONOKE ,AR,HCPP HMO PFFS,39780.0,73584.0,184.97737556561086,9.0,1.0
MADISON ,AR,PFFS,13290.0,8643.0,65.03386004514672,3.0,0.0
MARION ,AR,PFFS HCPP HMO COST,48840.0,42658.0,87.34234234234233,11.0,1.0
MILLER ,AR,HMO HCPP,31150.0,50267.0,161.3707865168539,7.0,0.0
MISSISSIPPI ,AR,PFFS HMO DEMO HCPP,31220.0,56700.0,181.61434977578475,7.0,0.0
MONROE ,AR,HMO,4470.0,1983.0,44.36241610738255,1.0,0.0
MONTGOMERY ,AR,HMO HCPP,8960.0,3940.0,43.973214285714285,2.0,0.0
NEVADA ,AR,HCPP,4490.0,1937.0,43.14031180400891,1.0,0.0
NEWTON ,AR,HCPP PFFS,9000.0,3660.0,40.666666666666664,2.0,0.0
OUACHITA ,AR,PFFS HMO HCPP,27060.0,36012.0,133.08203991130821,6.0,1.0
PERRY ,AR,HMO PFFS HCPP,22600.0,10555.0,46.703539823008846,5.0,0.0
PHILLIPS ,AR,PFFS HMO HCPP,22650.0,22825.0,100.77262693156732,5.0,1.0
PIKE ,AR,PSO HMO,9080.0,4450.0,49.008810572687224,2.0,0.0
POINSETT ,AR,HCPP PFFS,9100.0,10054.0,110.48351648351648,2.0,0.0
POLK ,AR,HCPP HMO PSO,31920.0,31584.0,98.94736842105263,7.0,0.0
POPE ,AR,HCPP HMO COST PFFS,50270.0,103433.0,205.75492341356676,11.0,0.0
PRAIRIE ,AR,HCPP,4580.0,1778.0,38.82096069868995,1.0,0.0
PULASKI ,AR,HMO HCPP COST PFFS DEMC PPO DEMO,114750.0,1439075.0,1254.0958605664487,25.0,3.0
RANDOLPH ,AR,HMO PFFS HCPP,18400.0,15488.0,84.17391304347827,4.0,0.0
SAINT FRANCIS ,AR,PFFS HMO HCPP,41490.0,42975.0,103.57917570498915,9.0,1.0
SALINE ,AR,HCPP HMO DEMP PFFS DEMO,50820.0,111133.0,218.67965367965368,11.0,1.0
SCOTT ,AR,HCPP HMO COST PFFS,27780.0,14730.0,53.02375809935205,6.0,0.0
SEARCY ,AR,HMO PFFS,13920.0,6531.0,46.91810344827586,3.0,0.0
SEBASTIAN ,AR,HCPP PFFS HMO PACE COST,74400.0,310304.0,417.0752688172043,16.0,6.0
SEVIER ,AR,COST,4660.0,2514.0,53.948497854077246,1.0,0.0
SHARP ,AR,PFFS HMO HCPP,51370.0,56738.0,110.44967880085652,11.0,1.0
STONE ,AR,HCPP,4680.0,3007.0,64.25213675213676,1.0,0.0
UNION ,AR,HCPP HMO PFFS,37520.0,72080.0,192.11087420042642,8.0,0.0
VAN BUREN ,AR,HCPP HMO,18800.0,17252.0,91.76595744680851,4.0,1.0
WASHINGTON ,AR,HMO PFFS HCPP PPO DEMO DEMP DEMC COST,131880.0,630112.0,477.79193205944796,28.0,4.0
WHITE ,AR,HCPP HMO PPO,47200.0,131000.0,277.5423728813559,10.0,1.0
WOODRUFF ,AR,HMO,9460.0,3478.0,36.76532769556025,2.0,0.0
YELL ,AR,HMO HCPP,14220.0,12975.0,91.24472573839662,3.0,0.0
APACHE ,AZ,HMO PFFS PPO HCPP DEMC,42000.0,113344.0,269.8666666666667,14.0,2.0
COCHISE ,AZ,HMO PFFS DEMC HCPP PPO COST DEMP DEMO,114380.0,847514.0,740.9634551495017,38.0,8.0
COCONINO ,AZ,HMO PFFS HCPP PPO DEMC COST,90600.0,479490.0,529.2384105960265,30.0,4.0
GILA ,AZ,HMO PFFS DEMC HCPP PPO COST DEMO,75750.0,316825.0,418.2508250825083,25.0,7.0
GRAHAM ,AZ,HMO PFFS DEMC HCPP PPO,45600.0,72540.0,159.07894736842104,15.0,4.0
GREENLEE ,AZ,HMO PPO PFFS DEMC,15250.0,5735.0,37.606557377049185,5.0,1.0
LA PAZ ,AZ,HMO PFFS DEMC HCPP PPO PSO COST DEMO,97760.0,138496.0,141.6693944353519,32.0,5.0
MARICOPA ,AZ,HCPP HMO DEMP PPO PFFS COST DEMO DEMC PACE PSO,541620.0,77314485.0,14274.67320261438,177.0,43.0
MOHAVE ,AZ,HMO PFFS PPO DEMO HCPP DEMC PSO COST DEMP,181130.0,2519772.0,1391.1400651465797,59.0,19.0
NAVAJO ,AZ,HMO PFFS HCPP DEMP PPO DEMO DEMC,73920.0,350568.0,474.25324675324674,24.0,7.0
PIMA ,AZ,HCPP HMO DEMP PPO PFFS DEMC COST DEMO PACE,333720.0,16123212.0,4831.35922330097,108.0,14.0
PINAL ,AZ,HMO DEMP PPO PFFS HCPP DEMC COST DEMO,232500.0,2394000.0,1029.6774193548388,75.0,12.0
SANTA CRUZ ,AZ,HMO PPO PFFS DEMP DEMC HCPP DEMO,55980.0,105948.0,189.2604501607717,18.0,5.0
YAVAPAI ,AZ,HMO PFFS HCPP DEMC DEMP PPO PSO COST PACE DEMO,174720.0,2512048.0,1437.7564102564102,56.0,14.0
YUMA ,AZ,HMO PPO PFFS HCPP DEMC PACE COST DEMP DEMO,156500.0,1160000.0,741.2140575079873,50.0,12.0
ALAMEDA ,CA,HMO DEMO HCPP PACE DEMC COST PPO PSO PFFS DEMP,395000.0,13474161.0,3411.1800000000003,79.0,13.0
ALPINE ,CA,HMO,10020.0,298.0,2.974051896207585,2.0,0.0
AMADOR ,CA,HMO COST DEMO HCPP DEMC,70280.0,109004.0,155.0996015936255,14.0,3.0
BUTTE ,CA,HMO HCPP DEMC COST PFFS DEMO DEMP PACE,135810.0,1063665.0,783.2007952286283,27.0,5.0
CALAVERAS ,CA,HMO DEMC COST HCPP,95760.0,175389.0,183.1547619047619,19.0,4.0
COLUSA ,CA,HMO DEMO DEMC COST,35350.0,21805.0,61.68316831683168,7.0,1.0
CONTRA COSTA ,CA,COST HMO HCPP PACE DEMC DEMO PPO PFFS DEMP PSO,379500.0,9899250.0,2608.498023715415,75.0,11.0
DEL NORTE ,CA,HMO DEMP COST HCPP DEMC PFFS,65910.0,64220.0,97.43589743589743,13.0,1.0
EL DORADO ,CA,HMO DEMC COST HCPP DEMO DEMP PFFS PACE,182880.0,978984.0,535.3149606299213,36.0,5.0
FRESNO ,CA,HMO HCPP DEMC PFFS COST PPO DEMO DEMP,218870.0,4365188.0,1994.4204322200392,43.0,7.0
GLENN ,CA,HMO DEMC HCPP COST,30600.0,25488.0,83.29411764705881,6.0,2.0
HUMBOLDT ,CA,HMO DEMC COST HCPP DEMP DEMO PFFS,132860.0,563160.0,423.8747553816047,26.0,3.0
IMPERIAL ,CA,HMO DEMC DEMO PPO COST PFFS HCPP,138240.0,564219.0,408.14453124999994,27.0,7.0
INYO ,CA,HMO DEMO HCPP DEMC COST,87210.0,61829.0,70.89668615984405,17.0,1.0
KERN ,CA,HMO DEMC COST HCPP DEMO PFFS DEMP PACE PPO,313540.0,5277354.0,1683.1517509727626,61.0,11.0
KINGS ,CA,HMO DEMC PFFS COST HCPP DEMO,82400.0,201856.0,244.97087378640776,16.0,3.0
LAKE ,CA,HMO DEMC COST PFFS DEMO HCPP,118680.0,304773.0,256.80232558139534,23.0,5.0
LASSEN ,CA,HMO COST DEMP HCPP DEMC,77550.0,63645.0,82.06963249516441,15.0,1.0
LOS ANGELES ,CA,HCPP HMO PACE PSO COST PFFS DEMO DEMC PPO DEMP,904800.0,191253492.0,21137.653846153848,174.0,36.0
MADERA ,CA,HMO DEMC COST HCPP PFFS,95400.0,368460.0,386.2264150943396,18.0,4.0
MARIN ,CA,HMO PACE DEMC COST PFFS PPO DEMP HCPP DEMO,196470.0,1440632.0,733.2580037664784,37.0,6.0
MARIPOSA ,CA,HMO PPO DEMO DEMP DEMC COST,69160.0,45591.0,65.92105263157895,13.0,2.0
MENDOCINO ,CA,HMO DEMC COST DEMO PPO DEMP HCPP,111930.0,329322.0,294.22138836772984,21.0,4.0
MERCED ,CA,HMO DEMC COST PFFS PSO DEMO HCPP,128160.0,567048.0,442.4531835205992,24.0,4.0
MODOC ,CA,HMO DEMC COST,37450.0,13748.0,36.71028037383178,7.0,0.0
MONO ,CA,HMO HCPP,21440.0,4608.0,21.492537313432834,4.0,1.0
MONTEREY ,CA,HMO DEMC COST HCPP PPO DEMP PFFS DEMO,171840.0,1466112.0,853.1843575418994,32.0,4.0
NAPA ,CA,HMO COST HCPP PPO PACE PFFS DEMC DEMO,150640.0,644532.0,427.86245353159853,28.0,3.0
NEVADA ,CA,HMO DEMC COST PFFS PSO PPO DEMO HCPP,123970.0,414851.0,334.6382189239332,23.0,5.0
ORANGE ,CA,HCPP HMO PSO PFFS DEMO DEMC COST PPO PACE DEMP,626400.0,38742028.0,6184.87037037037,116.0,23.0
PLACER ,CA,HMO HCPP DEMC COST PPO DEMO DEMP PACE PFFS,248860.0,2181090.0,876.4325323475045,46.0,7.0
PLUMAS ,CA,HMO HCPP COST DEMO PACE DEMC,81300.0,65580.0,80.66420664206642,15.0,3.0
RIVERSIDE ,CA,HMO PFFS DEMO HCPP DEMC COST PPO PSO DEMP PACE,597300.0,26578530.0,4449.779005524862,110.0,23.0
SACRAMENTO ,CA,HMO HCPP PACE DEMC PFFS COST DEMO PPO DEMP,456960.0,14641032.0,3204.0073529411766,84.0,11.0
SAN BENITO ,CA,HMO COST HCPP DEMC,54500.0,52270.0,95.90825688073394,10.0,2.0
SAN BERNARDINO ,CA,HCPP HMO PSO PFFS DEMO DEMC COST PACE PPO DEMP,518700.0,18455080.0,3557.9487179487182,95.0,21.0
SAN DIEGO ,CA,HCPP HMO PFFS DEMO DEMC COST DEMP PPO PACE PSO,754860.0,50825676.0,6733.126142595978,138.0,20.0
SAN FRANCISCO ,CA,HMO PACE DEMC PFFS COST HCPP DEMO PPO,367160.0,8408031.0,2290.018248175182,67.0,8.0
SAN JOAQUIN ,CA,HMO HCPP DEMC PFFS COST DEMO PPO DEMP PACE,269010.0,3805732.0,1414.7176684881601,49.0,7.0
SAN LUIS OBISPO ,CA,HMO DEMC DEMO HCPP PPO COST PFFS,209000.0,1599876.0,765.4909090909091,38.0,5.0
SAN MATEO ,CA,HMO DEMC COST HCPP PPO PFFS DEMO DEMP PACE,308560.0,5486936.0,1778.239564428312,56.0,6.0
SANTA BARBARA ,CA,HMO DEMC PFFS HCPP PACE COST DEMP DEMO PPO,253920.0,2696750.0,1062.0471014492755,46.0,7.0
SANTA CLARA ,CA,HMO DEMO DEMC COST HCPP DEMP PPO PFFS PACE,503230.0,17368806.0,3451.464737793852,91.0,7.0
SANTA CRUZ ,CA,HMO DEMC COST HCPP PFFS,171740.0,937905.0,546.1191335740073,31.0,5.0
SHASTA ,CA,HMO DEMC COST HCPP PFFS DEMO DEMP PPO,160950.0,1062357.0,660.0540540540541,29.0,5.0
SIERRA ,CA,HMO COST,22240.0,2792.0,12.553956834532373,4.0,0.0
SISKIYOU ,CA,HMO DEMC DEMP COST,77980.0,145950.0,187.1633752244165,14.0,3.0
SOLANO ,CA,HMO DEMC PFFS COST HCPP PPO DEMO DEMP PACE,262260.0,2239221.0,853.8172043010753,47.0,7.0
SONOMA ,CA,HMO DEMC COST HCPP PPO PFFS DEMO DEMP,273910.0,3334352.0,1217.3166368515206,49.0,5.0
STANISLAUS ,CA,HMO DEMC COST HCPP PPO PFFS DEMO DEMP PACE,235200.0,2642178.0,1123.375,42.0,5.0
SUTTER ,CA,HMO DEMC HCPP COST DEMO,72930.0,164658.0,225.77540106951872,13.0,3.0
TEHAMA ,CA,HMO DEMC COST DEMO HCPP,78680.0,145432.0,184.83985765124555,14.0,2.0
TRINITY ,CA,HMO COST DEMO DEMC,56300.0,35530.0,63.10834813499112,10.0,1.0
TULARE ,CA,HMO DEMC PFFS COST DEMO HCPP,169200.0,1388940.0,820.8865248226949,30.0,6.0
TUOLUMNE ,CA,HMO DEMC COST PFFS DEMO HCPP,101700.0,216702.0,213.07964601769913,18.0,4.0
VENTURA ,CA,HMO DEMO DEMC COST HCPP PPO PSO PFFS DEMP,373560.0,6506082.0,1741.643109540636,66.0,12.0
YOLO ,CA,HMO DEMC PFFS COST HCPP DEMO DEMP PACE,119070.0,429744.0,360.9171075837743,21.0,7.0
YUBA ,CA,HMO DEMC COST DEMO HCPP,73840.0,115869.0,156.91901408450704,13.0,3.0
ADAMS ,CO,HCPP HMO COST PACE PPO PFFS DEMO DEMP,240000.0,1605520.0,668.9666666666667,40.0,9.0
ALAMOSA ,CO,COST HMO PPO,30050.0,9910.0,32.978369384359404,5.0,2.0
ARAPAHOE ,CO,HMO COST PACE PPO HCPP PSO PFFS DEMO DEMP,343140.0,3086892.0,899.6013289036546,57.0,10.0
ARCHULETA ,CO,COST HMO PPO DEMO,60300.0,18750.0,31.094527363184078,10.0,1.0
BACA ,CO,PPO HCPP,12080.0,2104.0,17.41721854304636,2.0,0.0
BENT ,CO,COST HMO HCPP DEMO,48400.0,7400.0,15.289256198347106,8.0,1.0
BOULDER ,CO,HCPP COST HMO PPO PFFS PACE DEMO,260580.0,1468579.0,563.5808580858086,43.0,7.0
BROOMFIELD ,CO,COST HMO PPO HCPP PACE PFFS,99450.0,17970.0,18.069381598793363,15.0,4.0
CHAFFEE ,CO,COST HCPP HMO PPO PFFS,78910.0,44070.0,55.84843492586491,13.0,1.0
CHEYENNE ,CO,COST HCPP,12160.0,666.0,5.476973684210526,2.0,0.0
CLEAR CREEK ,CO,COST HMO PACE PPO PFFS,42630.0,4466.0,10.476190476190476,7.0,3.0
CONEJOS ,CO,COST HMO HCPP,36600.0,9198.0,25.131147540983605,6.0,2.0
COSTILLA ,CO,COST PPO HMO DEMP PFFS,36660.0,5358.0,14.615384615384617,6.0,2.0
CROWLEY ,CO,COST HMO,18360.0,1986.0,10.816993464052288,3.0,1.0
CUSTER ,CO,COST HMO PPO,36780.0,5040.0,13.70309951060359,6.0,1.0
DELTA ,CO,HCPP COST HMO PPO PFFS DEMO,73680.0,78936.0,107.13355048859934,12.0,2.0
DENVER ,CO,HCPP HMO COST PACE PPO PSO DEMP PFFS DEMO DEMC,313650.0,3660678.0,1167.1219512195123,51.0,11.0
DOLORES ,CO,COST HMO,12320.0,816.0,6.623376623376623,2.0,1.0
DOUGLAS ,CO,COST HMO PACE PPO HCPP PFFS DEMO PSO DEMC,240630.0,344019.0,142.96596434359805,39.0,5.0
EAGLE ,CO,COST HCPP HMO DEMP PPO DEMC,98880.0,31872.0,32.23300970873787,16.0,1.0
EL PASO ,CO,HCPP HMO COST PPO PFFS PACE DEMO DEMP DEMC,372000.0,3706560.0,996.3870967741937,60.0,8.0
ELBERT ,CO,COST HMO HCPP PPO PFFS,61900.0,16790.0,27.12439418416801,10.0,3.0
FREMONT ,CO,COST HMO PFFS HCPP PPO DEMO,93150.0,128490.0,137.93880837359097,15.0,4.0
GARFIELD ,CO,HCPP COST HMO PFFS PPO DEMO,87080.0,71764.0,82.41157556270096,14.0,2.0
GILPIN ,CO,COST HMO PPO DEMO,43610.0,1659.0,3.804173354735153,7.0,2.0
GRAND ,CO,COST HMO PPO PFFS HCPP,56160.0,11367.0,20.240384615384617,9.0,2.0
GUNNISON ,CO,HCPP HMO COST PPO,50000.0,9304.0,18.608,8.0,0.0
HINSDALE ,CO,COST,6260.0,132.0,2.1086261980830674,1.0,0.0
HUERFANO ,CO,HCPP COST HMO,56430.0,15732.0,27.878787878787882,9.0,2.0
JACKSON ,CO,COST,6280.0,250.0,3.9808917197452227,1.0,0.0
JEFFERSON ,CO,HCPP HMO COST PACE PPO PFFS DEMO DEMC,371110.0,3833171.0,1032.8934817170111,59.0,11.0
KIOWA ,CO,HMO COST HCPP,18900.0,1032.0,5.4603174603174605,3.0,0.0
KIT CARSON ,CO,COST HCPP HMO PPO,31550.0,6525.0,20.681458003169574,5.0,1.0
LA PLATA ,CO,COST HMO HCPP DEMO,101280.0,90848.0,89.69984202211691,16.0,1.0
LAKE ,CO,COST HMO DEMP,31600.0,3385.0,10.712025316455696,5.0,1.0
LARIMER ,CO,COST HMO PPO PFFS HCPP DEMP DEMO DEMC,266280.0,1360674.0,510.99369085173504,42.0,6.0
